Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/7/22,12:20:33,0,<None>,0.67,2.79,1478.2,-0.389,-0.72,-0.23,1402.7,102.9,102.9,8.06,-0.552,0.7,1410,2.08,5.7,916,32.6,0,7.82,-73,27.503,-0.387,25.91047,-80.13557,0,5.82,12.1,1451.1
10/7/22,12:20:48,0,<None>,0.29,1.24,53839.3,0.468,12.46,4.16,50571.5,86.1,86.1,5.6,0.679,33.31,50890.3,0.61,1.68,33079,0.36,0,7.82,-73,28.034,0.46,25.91045,-80.13558,0.1,5.83,12.1,1451.1
10/7/22,12:21:03,0,<None>,0.25,1.06,55333.5,0.743,9.38,3.13,51986.6,93.4,93.4,6.04,1.079,34.36,52313.1,0.64,1.76,34004,0.31,0,7.87,-75.8,28.022,1.049,25.91043,-80.1356,0.8,5.83,12.1,1451
10/7/22,12:21:18,0,<None>,0.25,1.07,55449.1,1.776,6.79,2.27,52329.3,96,96,6.22,2.582,34.6,52632.8,0.55,1.52,34211,0.22,0,7.92,-78.7,27.802,1.778,25.91041,-80.13562,1.8,5.82,12.1,1450.8
10/7/22,12:21:33,0,<None>,0.21,0.91,55373.1,2.512,5.81,1.94,52415.4,99.1,99.1,6.43,3.652,34.66,52702.5,0.49,1.35,34257,0.04,0,7.94,-80,27.653,2.518,25.91039,-80.13564,2.5,5.82,12.1,1450.7
10/7/22,12:21:48,0,<None>,0.22,0.97,55303.4,2.536,5.66,1.9,52428.1,99.6,99.6,6.47,3.687,34.67,52707,0.47,1.31,34260,-0.03,0,7.94,-80.2,27.579,2.56,25.91038,-80.13567,3,5.83,12.1,1450.7
10/7/22,12:22:03,0,<None>,0.27,1.13,55192.6,3.335,5.57,1.86,52419.6,100.2,100.2,6.52,4.849,34.65,52688.3,0.51,1.4,34247,0.04,0,7.95,-80.4,27.489,3.332,25.91036,-80.1357,3.2,5.83,12.1,1450.5
10/7/22,12:22:18,0,<None>,0.24,1.03,55149.2,3.376,5.53,1.85,52404.4,100.8,100.8,6.57,4.909,34.64,52670.3,0.58,1.6,34236,0.11,0,7.95,-80.6,27.465,3.431,25.91034,-80.13572,2.9,5.83,12.1,1450.5
10/7/22,12:22:33,0,<None>,0.67,2.79,55733.7,4.311,5.22,1.75,52657.9,95,95,6.15,6.269,34.85,52956.9,1.39,3.81,34422,13.14,0,7.93,-79.7,27.75,4.326,25.91032,-80.13573,2.9,5.83,12.1,1450.2
10/7/22,12:22:48,0,<None>,0.92,3.82,56101.5,4.319,5.04,1.69,52818.8,92.2,92.2,5.95,6.281,34.98,53138.7,1.95,5.35,34540,27.69,0,7.91,-78.4,27.919,4.345,25.91031,-80.13575,3.1,5.82,12.1,1450.3
10/7/22,12:23:03,0,<None>,1.99,8.24,56138.2,4.372,6.63,2.22,52817,84.1,84.1,5.42,6.357,34.98,53140.7,3.93,10.77,34541,234.27,0,7.91,-78.3,27.953,4.441,25.91029,-80.13576,3.2,5.82,12.1,1450.1
10/7/22,12:23:18,0,<None>,1.16,4.84,54998.3,4.464,7.27,2.43,51744.2,63.6,63.6,4.12,6.487,34.18,52061.4,4.53,12.4,33840,865.18,0,7.82,-73.2,27.954,4.563,25.91029,-80.13576,3.2,5.82,12.1,1449.9
10/7/22,12:23:33,0,<None>,2.52,10.43,54129.2,4.542,6.68,2.23,50910.8,27.2,27.2,1.77,6.598,33.56,51224.5,8.36,22.89,33296,793.82,0,7.57,-58,27.969,4.591,25.91028,-80.13577,3.1,5.82,12.1,1449.9
10/7/22,12:23:48,0,<None>,1.23,5.11,53754.5,4.583,6.12,2.05,50581.7,15.8,15.8,1.03,6.656,33.31,50890.9,7.45,20.4,33079,22756.45,0,7.54,-55.8,27.946,4.586,25.91027,-80.13577,3,5.83,12.1,1449.9
10/7/22,12:24:03,0,<None>,1.08,4.52,53709.7,4.589,5.75,1.93,50531,12.3,12.3,0.8,6.665,33.28,50840.9,6.22,17.03,33047,11728.85,0,7.49,-53.3,27.954,4.619,25.91026,-80.13579,3.4,5.82,12.1,1449.7
10/7/22,12:24:18,0,<None>,5.95,24.61,51187.6,4.613,6.52,2.18,48151.5,14.6,14.6,0.96,6.692,31.52,48447.5,24.87,68.08,31491,298.16,0,7.47,-52,27.961,4.654,25.91023,-80.13581,2.7,5.82,12.1,1449.7
10/7/22,12:24:33,0,<None>,5.17,21.39,48949.2,4.647,7.33,2.45,46032.8,9.3,9.3,0.62,6.733,29.97,46317.1,28.88,79.05,30106,278.76,0,7.45,-50.5,27.975,4.675,25.9102,-80.1358,2.2,5.82,12.1,1449.6
10/7/22,12:24:48,0,<None>,7.15,29.58,48254.3,4.671,7.22,2.41,45386.7,7.3,7.3,0.48,6.765,29.5,45666.3,26.5,72.53,29683,271.66,0,7.43,-49.4,27.967,4.695,25.91017,-80.1358,2.1,5.82,12.1,1449.5
10/7/22,12:25:03,0,<None>,2.3,9.54,48235.9,4.682,7.61,2.55,45368,6.7,6.7,0.45,6.781,29.49,45647.6,13.83,37.87,29671,274.93,0,7.42,-49,27.969,4.697,25.91015,-80.13581,1.6,5.83,12.1,1449.3
10/7/22,12:25:18,0,<None>,2.32,9.62,48702.7,4.697,8.28,2.77,45793.9,6.4,6.4,0.43,6.804,29.8,46077.5,26.36,72.14,29950,277.1,0,7.42,-49,27.983,4.724,25.91014,-80.13583,0.6,5.82,12.1,1449.3
10/7/22,12:25:33,0,<None>,6.15,25.45,50042.3,4.705,7.09,2.37,47055.8,63.6,63.6,4.2,6.82,30.72,47347,24.81,67.91,30776,1701.56,0,7.76,-69.5,27.98,4.74,25.91013,-80.13585,-0.2,5.82,12.1,1449.3
10/7/22,12:25:48,0,<None>,3.32,13.77,51925.5,4.723,7.63,2.55,48831.8,57,57,3.74,6.853,32.02,49133.5,15.97,43.72,31937,5447.43,0,7.58,-58.7,27.976,4.815,25.91012,-80.13586,-0.3,5.83,12.1,1449.1
10/7/22,12:26:03,0,<None>,3.42,14.18,55896.7,4.716,7.31,2.44,52568.1,54.6,54.6,3.52,6.857,34.79,52892.6,15.16,41.51,34380,11182.06,0,7.66,-63,27.973,4.748,25.9101,-80.13585,-0.3,5.82,12.1,1449.1
10/7/22,12:26:18,0,<None>,0.93,3.9,55822.1,4.233,7.13,2.38,52583.6,81.2,81.2,5.24,6.155,34.8,52899,2.69,7.38,34384,80.97,0,7.91,-78.3,27.893,4.129,25.91008,-80.13586,-0.6,5.82,12.1,1448.9
10/7/22,12:26:33,0,<None>,0.69,2.89,55474,3.447,6.43,2.15,52515.3,91.6,91.6,5.94,5.012,34.73,52802.5,2.36,6.47,34322,39.22,0,7.93,-79.5,27.649,3.432,25.91006,-80.13586,-0.2,5.82,12.1,1448.7
10/7/22,12:26:48,0,<None>,0.24,1.03,55079.1,2.392,5.75,1.92,52318.6,97.6,97.6,6.36,3.477,34.58,52586,0.92,2.52,34181,0.99,0,7.95,-80.6,27.482,2.441,25.91004,-80.13589,0.1,5.83,12.1,1448.7
10/7/22,12:27:03,0,<None>,0.23,0.99,55211,1.711,5.89,1.97,52278.8,99.1,99.1,6.44,2.487,34.56,52563.4,0.37,1.02,34166,0.07,0,7.95,-80.7,27.639,1.704,25.91003,-80.13589,-0.3,5.83,12.1,1448.5
10/7/22,12:27:18,0,<None>,0.34,1.42,54414.7,0.58,9.01,3.01,51324.6,91.4,91.4,5.94,0.843,33.86,51625.4,0.52,1.44,33556,0.14,0,7.91,-78.6,27.83,0.617,25.91002,-80.13588,-0.3,5.83,12.1,1448.4
