lat,lon,Total Water Column (ft),geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,sza,vza,raa,rhot_443,rhos_443,rhot_492,rhos_492,rhot_560,rhos_560,rhot_665,rhos_665,rhot_704,rhos_704,rhot_740,rhos_740,rhot_783,rhos_783,rhot_833,rhos_833,rhot_865,rhos_865,rhot_945,rhot_1373,rhot_1614,rhos_1614,rhot_2202,rhos_2202
25.9125989793,-80.13760428,8,POINT (-80.13760427998459 25.912598979251143),0,1,ID00000000,25.912563,-80.137581,502.5,57.5, , ,-80.1375808716,25.912563324,34.9873313904,2.7288398743,19.7945709229,0.1376000047,0.0377235934,0.0904000029,0.0163055435,0.0697000027,0.0233626962,0.0397999994,0.0048824186,0.0366999991,0.0054334728,0.0463999994,0.0182647817,0.0568999983,0.0304065179,0.0432999991,0.0199627001,0.0551999994,0.0307356156,0.0353000015,8.999999845400453E-4,0.0322999991,0.0152355898,0.0149999997,0.0012855008
25.9117701669,-80.1371414118,13,POINT (-80.13714141181809 25.911770166884125),0,2,ID00000001,25.911749,-80.137184,506.5,66.5, , ,-80.1371841431,25.9117488861,34.9860916138,2.7230465412,19.7159881592,0.1263000071,0.0271403156,0.0908000022,0.0216829777,0.0683000013,0.0272886232,0.0361000001,0.0069296812,0.0294000003,0.0036135353,0.0274999999,0.0039956393,0.0244999994,0.0025343345,0.0300999992,0.0119389929,0.0261000004,0.0071261637,0.0198999997,7.999999797903001E-4,0.0189999994,0.0078560188,0.0089999996,6.912099197506905E-4
25.9107794393,-80.136459967,13,POINT (-80.13645996701729 25.910779439341894),0,3,ID00000002,25.910751,-80.13649,513.5,77.5, , ,-80.1364898682,25.9107513428,34.9853439331,2.7181317806,19.6507415771,0.1215000004,0.0230532326,0.0901999995,0.0235474166,0.0680999979,0.0300332233,0.0342999995,0.0082066506,0.0283000004,0.0057416297,0.0305000003,0.0106773274,0.0308999997,0.0127677154,0.0231999997,0.0078007625,0.0275999997,0.0121822217,0.0121999998,6.99999975040555E-4,0.0126999998,0.0047528096,0.0057999999,3.738943487405777E-4
25.9095574021,-80.1365671124,15,POINT (-80.13656711242659 25.909557402077226),0,4,ID00000003,25.909578,-80.136604,512.5,90.5, , ,-80.1366043091,25.9095783234,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0286962241,0.0966999978,0.032136675,0.0732999966,0.0370525606,0.0305000003,0.0047879717,0.0236000009,0.0013532236,0.0324999988,0.0137200104,0.0326000005,0.0154366205,0.0201999992,0.0053623742,0.0291000009,0.0146188335,0.0074999998,7.999999797903001E-4,0.0127999997,0.0057501262,0.0049999999,2.948977053165436E-4
25.9082486311,-80.1370367627,15,POINT (-80.13703676265452 25.90824863106063),0,5,ID00000004,25.908226,-80.137009,508.5,105.5, , ,-80.137008667,25.9082260132,34.9831161499,2.7177762985,19.6360778809,0.1253000051,0.0268662721,0.0909999982,0.0231528729,0.0667999983,0.0268857181,0.0283000004,-2.399529330432415E-4,0.0292000007,0.0049679792,0.0285999998,0.0067980164,0.0285999998,0.0085039008,0.0219999999,0.0046333531,0.0237000007,0.0062784338,0.0098000001,6.000000284984708E-4,0.0140000004,0.0042403564,0.0074999998,5.427859723567963E-4
25.907296274,-80.1368453165,16,POINT (-80.13684531650534 25.907296273975987),0,6,ID00000005,25.907322,-80.136818,510.5,115.5, , ,-80.1368179321,25.9073219299,34.9818725586,2.7119829655,19.557510376,0.1264999956,0.024180185,0.0901999995,0.0171129704,0.0649000034,0.0187836215,0.0359999985,0.0019717384,0.0425000004,0.0132379811,0.0524999984,0.0263013653,0.0432999991,0.0174018852,0.0248000007,9.681172668933868E-4,0.0500999987,0.0268705152,0.0080000004,6.99999975040555E-4,0.0250000004,0.0089668296,0.0137,0.0011562044
25.9065188367,-80.1363179504,7,POINT (-80.13631795039223 25.90651883668886),0,7,ID00000006,25.906507,-80.136322,515.5,124.5, , ,-80.1363220215,25.9065074921,34.9811286926,2.7070679665,19.4922485352,0.1216000021,0.0232558399,0.0888999999,0.0220431481,0.0632999986,0.0243374575,0.0311999992,0.0048471102,0.0244999994,0.0016180619,0.0285999998,0.0087067848,0.0293000005,0.0111792907,0.0249000005,0.0097877402,0.0273000002,0.0119814891,0.0057999999,7.999999797903001E-4,0.0098000001,0.0017986777,0.0057000001,3.6408170126378536E-4
25.908020999,-80.1356587428,8,POINT (-80.1356587427519 25.908020999035585),0,8,ID00000007,25.908037,-80.135612,522.5,107.5, , ,-80.1356124878,25.9080371857,34.9823608398,2.7056665421,19.4802856445,0.1218999997,0.0239685122,0.0868000016,0.0198644958,0.0623999983,0.0237034615,0.0317000002,0.0059069637,0.0265999995,0.0044675898,0.0263999999,0.0068194154,0.0250000004,0.0071428097,0.0197999999,0.0046892995,0.0221999995,0.0072218934,0.0055,6.000000284984708E-4,0.0082999999,7.629829924553633E-4,0.0052,3.138917963951826E-4
25.9069932058,-80.1346919049,14,POINT (-80.13469190487858 25.906993205812768),0,9,ID00000008,25.906948,-80.13472,531.5,119.5, , ,-80.1347198486,25.9069480896,34.9811210632,2.699873209,19.4017028809,0.1203999966,0.0219866876,0.0895000026,0.0231466498,0.065200001,0.0270676631,0.0320999995,0.0063392087,0.0267999992,0.0046759266,0.0271000005,0.0075719855,0.0241999999,0.0062806662,0.0210999995,0.0061127725,0.0241,0.0091837654,0.0062000002,6.99999975040555E-4,0.0094999997,0.0020258883,0.0052,3.131518606096506E-4
25.9052697169,-80.1334601064,12,POINT (-80.13346010635283 25.90526971690757),0,10,ID00000009,25.905226,-80.133438,544.5,138.5, , ,-80.1334381104,25.9052257538,34.9786338806,2.6882865429,19.2445526123,0.1212000027,0.0230013132,0.0886000022,0.0220192336,0.0644999966,0.0262000319,0.0322000012,0.0064297495,0.0271000005,0.004989435,0.0262000002,0.0065676831,0.0254999995,0.0076424279,0.0200999994,0.0049906187,0.0203000009,0.005219283,0.0055999998,5.000000237487257E-4,0.0083999997,8.538851980119944E-4,0.0052,3.1209527514874935E-4
25.9079061503,-80.1335089559,9,POINT (-80.13350895592254 25.90790615029765),0,11,ID00000010,25.907934,-80.133522,543.5,108.5, , ,-80.1335220337,25.9079341888,34.9811134338,2.6926784515,19.3111572266,0.1199999973,0.0224566478,0.0922000036,0.0276395809,0.0683000013,0.0321881697,0.0320000015,0.007750751,0.0259000007,0.0052281008,0.0240000002,0.0057563586,0.0261000004,0.0098959664,0.0211999994,0.0078387279,0.0218000002,0.0084207254,0.0057000001,6.99999975040555E-4,0.0083999997,0.0025229198,0.0037,1.638659741729498E-4
25.9090046468,-80.1348278943,10,POINT (-80.13482789429816 25.909004646818488),0,12,ID00000011,25.909025,-80.134811,530.5,96.5, , ,-80.1348114014,25.9090251923,34.9826049805,2.7025084496,19.4416656494,0.1228,0.025737077,0.0923999995,0.0274222903,0.0676999986,0.0309259091,0.0320999995,0.0072661918,0.0252999999,0.0039509502,0.0247000009,0.0059036352,0.0228000004,0.0057643419,0.0193000007,0.0051046703,0.0199999996,0.0059104804,0.0082,5.000000237487257E-4,0.0089999996,0.0024985045,0.0043000001,2.241525799036026E-4
25.9104107074,-80.1341928499,8,POINT (-80.1341928498949 25.910410707436696),0,13,ID00000012,25.910378,-80.134201,536.5,81.5, , ,-80.1342010498,25.9103775024,34.9838409424,2.7011070251,19.4296875,0.125,0.0272201356,0.0952999964,0.0293136295,0.0713,0.0333800204,0.0318000019,0.0048569525,0.0289999992,0.0059564104,0.0270000007,0.0062786504,0.0269000009,0.0079492815,0.0240000002,0.008106092,0.0258000009,0.0097336108,0.0073000002,6.99999975040555E-4,0.0105999997,0.0019593067,0.0063,4.211748018860817E-4
