GPS Latitude °,GPS Longitude °,Date (MM/DD/YYYY),Time,Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,sza,vza,raa,rhot_443,rhos_443,rhot_492,rhos_492,rhot_560,rhos_560,rhot_665,rhos_665,rhot_704,rhos_704,rhot_740,rhos_740,rhot_783,rhos_783,rhot_833,rhos_833,rhot_865,rhos_865,rhot_945,rhot_1373,rhot_1614,rhos_1614,rhot_2202,rhos_2202
25.90926,-80.13665,10/7/22,13:10:37,0,<None>,0.39,1.67,50291.2,0.17,18.69,6.24,47335.4,94.6,94.6,6.24,0.246,30.93,47623.5,0.74,2.02,30955,0.02,0,7.86,-75.1,27.933,-0.138,3.1,5.83,12.1,1443.6,POINT (-80.13665 25.90926),0,1,ID00000250,25.909218,-80.136604,512.5,94.5, , ,-80.1366043091,25.9092178345,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0245184787,0.0957000032,0.0259398911,0.0705000013,0.0279658772,0.0384999998,0.0074378513,0.0388999991,0.0119645819,0.0408999994,0.0164018199,0.0355000012,0.0119333463,0.0254999995,0.0045685191,0.0397000015,0.0189329274,0.0074999998,7.999999797903001E-4,0.0190999992,0.0056221327,0.0110999998,8.98502767086029E-4
25.90924,-80.13667,10/7/22,13:10:52,0,<None>,0.38,1.61,50292.8,0.065,19.81,6.61,47337.3,94.8,94.8,6.25,0.094,30.93,47625.3,0.79,2.17,30956,-0.26,0,7.84,-74.2,27.932,0.017,2.5,5.83,12.1,1443.6,POINT (-80.13667 25.90924),0,2,ID00000251,25.909218,-80.136703,511.5,94.5, , ,-80.1367034912,25.9092178345,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0245210063,0.0918999985,0.0213054996,0.0697000027,0.0270034857,0.0340999998,0.0025252234,0.0388999991,0.0119661605,0.0408999994,0.0164032951,0.0355000012,0.0119347796,0.0226000007,0.0013683951,0.0397000015,0.018934194,0.0074999998,7.999999797903001E-4,0.0190999992,0.0056228638,0.0110999998,8.986266329884529E-4
25.90923,-80.13665,10/7/22,13:11:07,0,<None>,0.42,1.78,50184.8,-0.02,19.77,6.6,47237.2,95,95,6.27,-0.029,30.85,47524.5,0.76,2.09,30891,-0.3,0,7.84,-74.3,27.931,-0.022,1.6,5.83,12.1,1443.6,POINT (-80.13665 25.90923),0,3,ID00000252,25.909218,-80.136604,512.5,94.5, , ,-80.1366043091,25.9092178345,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0245184787,0.0957000032,0.0259398911,0.0705000013,0.0279658772,0.0384999998,0.0074378513,0.0388999991,0.0119645819,0.0408999994,0.0164018199,0.0355000012,0.0119333463,0.0254999995,0.0045685191,0.0397000015,0.0189329274,0.0074999998,7.999999797903001E-4,0.0190999992,0.0056221327,0.0110999998,8.98502767086029E-4
25.90927,-80.1366,10/7/22,13:11:22,0,<None>,0.4,1.69,50566.7,-0.017,19.04,6.35,47597.2,95.1,95.1,6.27,-0.025,31.12,47886.6,0.81,2.23,31126,-0.28,0,7.84,-74.4,27.93,-0.091,1.4,5.83,12.1,1443.6,POINT (-80.1366 25.90927),0,4,ID00000253,25.909307,-80.136604,512.5,93.5, , ,-80.1366043091,25.9093074799,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0287652947,0.0930000022,0.0277057961,0.0692000017,0.0322063863,0.0313000008,0.0057856059,0.0292000007,0.0076924609,0.0289999992,0.0099987434,0.0326000005,0.0155447572,0.0218000002,0.0072384793,0.0267999992,0.0123407962,0.0074999998,7.999999797903001E-4,0.0137999998,0.0069187423,0.0049000001,2.850187011063099E-4
25.90929,-80.13654,10/7/22,13:11:37,0,<None>,0.36,1.53,51278.2,-0.05,17.39,5.81,48267.3,94.4,94.4,6.21,-0.072,31.61,48560.7,0.74,2.04,31564,-0.25,0,7.85,-74.9,27.93,-0.073,1.3,5.83,12.1,1443.6,POINT (-80.13654 25.90929),0,5,ID00000254,25.909307,-80.136505,513.5,93.5, , ,-80.136505127,25.9093074799,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0242417976,0.0926000029,0.0218290854,0.0665000007,0.0227664188,0.0342000015,0.0022211047,0.0384000018,0.0109868497,0.0368999988,0.0116029726,0.0452000014,0.0217815172,0.0189999994,-0.0030459054,0.0340999998,0.0126832901,0.0074999998,7.999999797903001E-4,0.0197999999,0.0059161438,0.0115,9.379377588629723E-4
25.9093,-80.13645,10/7/22,13:11:52,0,<None>,0.45,1.9,50383.8,-0.077,19.55,6.53,47408.5,94.9,94.9,6.26,-0.111,30.98,47698.5,0.72,1.98,31004,-0.3,0,7.85,-74.5,27.948,-0.141,0.7,5.83,12.1,1443.6,POINT (-80.13645 25.9093),0,6,ID00000255,25.909306,-80.136406,514.5,93.5, , ,-80.1364059448,25.9093055725,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0242392719,0.0873999968,0.0154735986,0.0703999996,0.0274669975,0.0308999997,-0.0014684135,0.0384000018,0.0109852599,0.0368999988,0.0116014695,0.0452000014,0.0217801519,0.0201999992,-0.0017220387,0.0340999998,0.0126819825,0.0074999998,7.999999797903001E-4,0.0197999999,0.0059154145,0.0115,9.378101676702499E-4
25.90933,-80.13637,10/7/22,13:12:07,0,<None>,0.39,1.64,50300.4,-0.114,20.35,6.79,47317.1,94.9,94.9,6.26,-0.165,30.91,47607.9,0.7,1.92,30945,-0.29,0,7.84,-74,27.961,-0.164,0.1,5.83,12.1,1443.6,POINT (-80.13637 25.90933),0,7,ID00000256,25.909306,-80.136406,514.5,93.5, , ,-80.1364059448,25.9093055725,34.9838562012,2.7154965401,19.6107788086,0.1254000068,0.0242392719,0.0873999968,0.0154735986,0.0703999996,0.0274669975,0.0308999997,-0.0014684135,0.0384000018,0.0109852599,0.0368999988,0.0116014695,0.0452000014,0.0217801519,0.0201999992,-0.0017220387,0.0340999998,0.0126819825,0.0074999998,7.999999797903001E-4,0.0197999999,0.0059154145,0.0115,9.378101676702499E-4
25.90938,-80.13631,10/7/22,13:12:22,0,<None>,0.42,1.79,50510,-0.142,19.91,6.64,47515.5,94.7,94.7,6.24,-0.206,31.06,47807.4,0.75,2.06,31075,-0.29,0,7.84,-74.1,27.96,-0.158,-0.7,5.83,12.1,1443.6,POINT (-80.13631 25.90938),0,8,ID00000257,25.909395,-80.136307,515.5,92.5, , ,-80.1363067627,25.9093952179,34.9836044312,2.7114598751,19.5588378906,0.123999998,0.0246707331,0.0926000029,0.0245173946,0.0769999996,0.0385040119,0.0423999988,0.0147751886,0.0357000008,0.0114495754,0.0394000001,0.0178482234,0.0355999991,0.0151624996,0.0317000002,0.0145655256,0.0346999988,0.0169198215,0.0070000002,5.000000237487257E-4,0.0156999994,0.005252847,0.0082,6.112274713814259E-4
25.90941,-80.13629,10/7/22,13:12:37,0,<None>,0.4,1.71,50969.5,-0.114,18.81,6.28,47945.1,94.1,94.1,6.19,-0.165,31.37,48240,0.79,2.18,31356,-0.25,0,7.84,-74.4,27.962,-0.094,-0.8,5.83,12.1,1443.5,POINT (-80.13629 25.90941),0,9,ID00000258,25.909395,-80.136307,515.5,92.5, , ,-80.1363067627,25.9093952179,34.9836044312,2.7114598751,19.5588378906,0.123999998,0.0246707331,0.0926000029,0.0245173946,0.0769999996,0.0385040119,0.0423999988,0.0147751886,0.0357000008,0.0114495754,0.0394000001,0.0178482234,0.0355999991,0.0151624996,0.0317000002,0.0145655256,0.0346999988,0.0169198215,0.0070000002,5.000000237487257E-4,0.0156999994,0.005252847,0.0082,6.112274713814259E-4
25.90947,-80.13631,10/7/22,13:12:52,0,<None>,0.34,1.44,50701.2,-0.076,18.71,6.24,47691,94.1,94.1,6.2,-0.11,31.19,47984.4,0.72,1.99,31190,-0.29,0,7.84,-74.4,27.964,-0.081,-1,5.83,12.1,1443.6,POINT (-80.13631 25.90947),0,10,ID00000259,25.909487,-80.136299,515.5,91.5, , ,-80.1362991333,25.9094867706,34.9836044312,2.7114598751,19.5588378906,0.123999998,0.0227527414,0.1077999994,0.0407384522,0.1181999967,0.0852171481,0.0698999986,0.0425178856,0.0546000004,0.0294976849,0.053199999,0.0299329385,0.0483999997,0.0257074758,0.0744000003,0.0585332438,0.0544999987,0.0343810767,0.0070000002,5.000000237487257E-4,0.0269000009,0.0139737688,0.0109999999,8.882042020559311E-4
