# SNAP pixel extraction export table
#
# Window size: 1
# Created on:	2023-02-08 03:35:26

# Wavelength:	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.0	0.0	0.0	0.0	0.0	442.69504	442.69504	492.43658	492.43658	559.84906	559.84906	664.62177	664.62177	704.1149	704.1149	740.47455	740.4918	782.7529	782.7529	832.7904	832.7904	864.7108	864.7108	945.06586	1373.4619	1613.6594	1613.6594	2202.3652	2202.3667
lat	lon	Date (MM/DD/YYYY)	Time	Time (Fract. Sec)	Site Name	Chlorophyll RFU	Chlorophyll ug/L	Cond µS/cm	Depth m	fDOM QSU	fDOM RFU	nLF Cond µS/cm	ODO % sat	ODO % CB	ODO mg/L	Pressure psi a	Sal psu	SpCond µS/cm	TAL PE RFU	TAL PE ug/L	TDS mg/L	Turbidity FNU	TSS mg/L	pH	pH mV	Temp °C	Vertical Position m	Altitude m	Battery V	Cable Pwr V	Barometer mmHg	geometry	ProdID	CoordID	Name	Latitude	Longitude	PixelX	PixelY	Date(yyyy-MM-dd)	Time(HH_mm_ss)	lon	lat	sza	vza	raa	rhot_443	rhos_443	rhot_492	rhos_492	rhot_560	rhos_560	rhot_665	rhos_665	rhot_704	rhos_704	rhot_740	rhos_740	rhot_783	rhos_783	rhot_833	rhos_833	rhot_865	rhos_865	rhot_945	rhot_1373	rhot_1614	rhos_1614	rhot_2202	rhos_2202
25.90926	-80.13665	10/7/22	13:10:37	0.0	<None>	0.39	1.67	50291.2	0.17	18.69	6.24	47335.4	94.6	94.6	6.24	0.246	30.93	47623.5	0.74	2.02	30955.0	0.02	0.0	7.86	-75.1	27.933	-0.138	3.1	5.83	12.1	1443.6	POINT (-80.13665 25.90926)	0	1	ID00000250	25.909218	-80.136604	512.500	94.500	 	 	-80.13660430908203	25.909217834472656	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.02451847866177559	0.09570000320672989	0.02593989111483097	0.07050000131130219	0.027965877205133438	0.03849999979138374	0.007437851279973984	0.03889999911189079	0.011964581906795502	0.04089999943971634	0.01640181988477707	0.03550000116229057	0.011933346278965473	0.025499999523162842	0.0045685190707445145	0.03970000147819519	0.018932927399873734	0.007499999832361937	7.999999797903001E-4	0.019099999219179153	0.005622132681310177	0.011099999770522118	8.98502767086029E-4
25.90924	-80.13667	10/7/22	13:10:52	0.0	<None>	0.38	1.61	50292.8	0.065	19.81	6.61	47337.3	94.8	94.8	6.25	0.094	30.93	47625.3	0.79	2.17	30956.0	-0.26	0.0	7.84	-74.2	27.932	0.017	2.5	5.83	12.1	1443.6	POINT (-80.13667 25.90924)	0	2	ID00000251	25.909218	-80.136703	511.500	94.500	 	 	-80.13670349121094	25.909217834472656	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.024521006271243095	0.09189999848604202	0.021305499598383904	0.06970000267028809	0.027003485709428787	0.0340999998152256	0.002525223419070244	0.03889999911189079	0.011966160498559475	0.04089999943971634	0.01640329509973526	0.03550000116229057	0.011934779584407806	0.022600000724196434	0.0013683950528502464	0.03970000147819519	0.01893419399857521	0.007499999832361937	7.999999797903001E-4	0.019099999219179153	0.00562286376953125	0.011099999770522118	8.986266329884529E-4
25.90923	-80.13665	10/7/22	13:11:07	0.0	<None>	0.42	1.78	50184.8	-0.02	19.77	6.6	47237.2	95.0	95.0	6.27	-0.029	30.85	47524.5	0.76	2.09	30891.0	-0.3	0.0	7.84	-74.3	27.931	-0.022	1.6	5.83	12.1	1443.6	POINT (-80.13665 25.90923)	0	3	ID00000252	25.909218	-80.136604	512.500	94.500	 	 	-80.13660430908203	25.909217834472656	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.02451847866177559	0.09570000320672989	0.02593989111483097	0.07050000131130219	0.027965877205133438	0.03849999979138374	0.007437851279973984	0.03889999911189079	0.011964581906795502	0.04089999943971634	0.01640181988477707	0.03550000116229057	0.011933346278965473	0.025499999523162842	0.0045685190707445145	0.03970000147819519	0.018932927399873734	0.007499999832361937	7.999999797903001E-4	0.019099999219179153	0.005622132681310177	0.011099999770522118	8.98502767086029E-4
25.90927	-80.1366	10/7/22	13:11:22	0.0	<None>	0.4	1.69	50566.7	-0.017	19.04	6.35	47597.2	95.1	95.1	6.27	-0.025	31.12	47886.6	0.81	2.23	31126.0	-0.28	0.0	7.84	-74.4	27.93	-0.091	1.4	5.83	12.1	1443.6	POINT (-80.1366 25.90927)	0	4	ID00000253	25.909307	-80.136604	512.500	93.500	 	 	-80.13660430908203	25.9093074798584	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.028765294700860977	0.09300000220537186	0.02770579606294632	0.06920000165700912	0.03220638632774353	0.031300000846385956	0.0057856058701872826	0.029200000688433647	0.007692460902035236	0.028999999165534973	0.009998743422329426	0.032600000500679016	0.01554475724697113	0.021800000220537186	0.00723847933113575	0.026799999177455902	0.012340796180069447	0.007499999832361937	7.999999797903001E-4	0.013799999840557575	0.006918742321431637	0.004900000058114529	2.850187011063099E-4
25.90929	-80.13654	10/7/22	13:11:37	0.0	<None>	0.36	1.53	51278.2	-0.05	17.39	5.81	48267.3	94.4	94.4	6.21	-0.072	31.61	48560.7	0.74	2.04	31564.0	-0.25	0.0	7.85	-74.9	27.93	-0.073	1.3	5.83	12.1	1443.6	POINT (-80.13654 25.90929)	0	5	ID00000254	25.909307	-80.136505	513.500	93.500	 	 	-80.13650512695312	25.9093074798584	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.024241797626018524	0.09260000288486481	0.021829085424542427	0.06650000065565109	0.022766418755054474	0.03420000150799751	0.0022211046889424324	0.03840000182390213	0.010986849665641785	0.03689999878406525	0.011602972634136677	0.04520000144839287	0.021781517192721367	0.01899999938905239	-0.0030459053814411163	0.0340999998152256	0.012683290056884289	0.007499999832361937	7.999999797903001E-4	0.01979999989271164	0.0059161437675356865	0.011500000022351742	9.379377588629723E-4
25.9093	-80.13645	10/7/22	13:11:52	0.0	<None>	0.45	1.9	50383.8	-0.077	19.55	6.53	47408.5	94.9	94.9	6.26	-0.111	30.98	47698.5	0.72	1.98	31004.0	-0.3	0.0	7.85	-74.5	27.948	-0.141	0.7	5.83	12.1	1443.6	POINT (-80.13645 25.9093)	0	6	ID00000255	25.909306	-80.136406	514.500	93.500	 	 	-80.13640594482422	25.909305572509766	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.024239271879196167	0.08739999681711197	0.01547359861433506	0.07039999961853027	0.027466997504234314	0.030899999663233757	-0.0014684135094285011	0.03840000182390213	0.010985259898006916	0.03689999878406525	0.011601469479501247	0.04520000144839287	0.02178015187382698	0.02019999921321869	-0.0017220387235283852	0.0340999998152256	0.012681982479989529	0.007499999832361937	7.999999797903001E-4	0.01979999989271164	0.005915414541959763	0.011500000022351742	9.378101676702499E-4
25.90933	-80.13637	10/7/22	13:12:07	0.0	<None>	0.39	1.64	50300.4	-0.114	20.35	6.79	47317.1	94.9	94.9	6.26	-0.165	30.91	47607.9	0.7	1.92	30945.0	-0.29	0.0	7.84	-74.0	27.961	-0.164	0.1	5.83	12.1	1443.6	POINT (-80.13637 25.90933)	0	7	ID00000256	25.909306	-80.136406	514.500	93.500	 	 	-80.13640594482422	25.909305572509766	34.983856201171875	2.71549654006958	19.61077880859375	0.12540000677108765	0.024239271879196167	0.08739999681711197	0.01547359861433506	0.07039999961853027	0.027466997504234314	0.030899999663233757	-0.0014684135094285011	0.03840000182390213	0.010985259898006916	0.03689999878406525	0.011601469479501247	0.04520000144839287	0.02178015187382698	0.02019999921321869	-0.0017220387235283852	0.0340999998152256	0.012681982479989529	0.007499999832361937	7.999999797903001E-4	0.01979999989271164	0.005915414541959763	0.011500000022351742	9.378101676702499E-4
25.90938	-80.13631	10/7/22	13:12:22	0.0	<None>	0.42	1.79	50510.0	-0.142	19.91	6.64	47515.5	94.7	94.7	6.24	-0.206	31.06	47807.4	0.75	2.06	31075.0	-0.29	0.0	7.84	-74.1	27.96	-0.158	-0.7	5.83	12.1	1443.6	POINT (-80.13631 25.90938)	0	8	ID00000257	25.909395	-80.136307	515.500	92.500	 	 	-80.13630676269531	25.909395217895508	34.983604431152344	2.7114598751068115	19.558837890625	0.12399999797344208	0.024670733138918877	0.09260000288486481	0.024517394602298737	0.07699999958276749	0.03850401192903519	0.042399998754262924	0.014775188639760017	0.0357000008225441	0.011449575424194336	0.039400000125169754	0.017848223447799683	0.035599999129772186	0.015162499621510506	0.031700000166893005	0.014565525576472282	0.034699998795986176	0.016919821500778198	0.007000000216066837	5.000000237487257E-4	0.015699999406933784	0.005252846982330084	0.008200000040233135	6.112274713814259E-4
25.90941	-80.13629	10/7/22	13:12:37	0.0	<None>	0.4	1.71	50969.5	-0.114	18.81	6.28	47945.1	94.1	94.1	6.19	-0.165	31.37	48240.0	0.79	2.18	31356.0	-0.25	0.0	7.84	-74.4	27.962	-0.094	-0.8	5.83	12.1	1443.5	POINT (-80.13629 25.90941)	0	9	ID00000258	25.909395	-80.136307	515.500	92.500	 	 	-80.13630676269531	25.909395217895508	34.983604431152344	2.7114598751068115	19.558837890625	0.12399999797344208	0.024670733138918877	0.09260000288486481	0.024517394602298737	0.07699999958276749	0.03850401192903519	0.042399998754262924	0.014775188639760017	0.0357000008225441	0.011449575424194336	0.039400000125169754	0.017848223447799683	0.035599999129772186	0.015162499621510506	0.031700000166893005	0.014565525576472282	0.034699998795986176	0.016919821500778198	0.007000000216066837	5.000000237487257E-4	0.015699999406933784	0.005252846982330084	0.008200000040233135	6.112274713814259E-4
25.90947	-80.13631	10/7/22	13:12:52	0.0	<None>	0.34	1.44	50701.2	-0.076	18.71	6.24	47691.0	94.1	94.1	6.2	-0.11	31.19	47984.4	0.72	1.99	31190.0	-0.29	0.0	7.84	-74.4	27.964	-0.081	-1.0	5.83	12.1	1443.6	POINT (-80.13631 25.90947)	0	10	ID00000259	25.909487	-80.136299	515.500	91.500	 	 	-80.13629913330078	25.909486770629883	34.983604431152344	2.7114598751068115	19.558837890625	0.12399999797344208	0.02275274135172367	0.10779999941587448	0.04073845222592354	0.11819999665021896	0.08521714806556702	0.06989999860525131	0.04251788556575775	0.05460000038146973	0.02949768491089344	0.053199999034404755	0.029932938516139984	0.04839999973773956	0.02570747584104538	0.07440000027418137	0.05853324383497238	0.054499998688697815	0.03438107669353485	0.007000000216066837	5.000000237487257E-4	0.026900000870227814	0.013973768800497055	0.010999999940395355	8.882042020559311E-4
